postal_code,price,number_of_bedrooms,living_area,equiped_kitchen,furnished,terrace,garden,swimming_pool,property_type_Apartment_Apartment,property_type_Apartment_Duplex,property_type_Apartment_Ground floor,property_type_Apartment_Loft,property_type_Apartment_Penthouse,property_type_Apartment_Studio,property_type_Apartment_Triplex,property_type_House_Bungalow,property_type_House_Chalet,property_type_House_Cottage,property_type_House_Mansion,property_type_House_Master house,property_type_House_Mixed building,property_type_House_Residence,property_type_House_Villa
-0.6342283369196589,-0.20989838313719403,0.23270424834677156,-0.4462676189103108,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8579085619873562,0.16801386703344787,0.23270424834677156,2.5467002838063486,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,0.9223313719965097,-0.1568958155466329,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.6193163219151457,-0.46302085903273854,-1.3021265044103496,-0.828581037140541,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.7684364719602773,-0.36342523476901734,-0.5347111280317891,-0.5445767835980843,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,0.9223313719965097,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.7964496880895445,-0.5347111280317891,-0.6210394672441303,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6193163219151457,-0.2886301019227444,0.23270424834677156,-0.22780280849303636,-0.6642014521697932,-0.14039727906050145,-2.103429012586442,0.9223313719965097,-0.1568958155466329,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.7535244569557641,-0.5405716020365057,0.23270424834677156,-0.00933799807576195,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,0.9223313719965097,-0.1568958155466329,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.8206285244760733,2.4315468455320826,-1.3021265044103496,-0.8613507587031322,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.5645847762660986,-0.5347111280317891,-0.7958113155779498,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.5488384325089884,-0.5347111280317891,-0.7848880750570861,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.5330920887518784,-0.5347111280317891,-0.7848880750570861,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.5173457449947684,-0.5347111280317891,-0.7958113155779498,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.5134091590554908,-0.5347111280317891,-0.7958113155779498,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.4071213386949978,-0.5347111280317891,-0.6538091888067215,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.3913749949378877,-0.5347111280317891,-0.6538091888067215,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.37956523712005513,-0.5347111280317891,-0.6647324293275853,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.36381889336294504,-0.5347111280317891,-0.6538091888067215,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8206285244760733,-0.6078872215981513,-0.5347111280317891,-0.828581037140541,-0.6642014521697932,-0.14039727906050145,0.47538136648093793,-1.084134172010316,-0.1568958155466329,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
